analysis,stratum_type,stratum,n_pairs,n_sites,observed_mean_ug_m3,observed_median_ug_m3,cmaq_total_mean_ug_m3,cmaq_total_median_ug_m3,cmaq_fire_mean_ug_m3,cmaq_nofire_mean_ug_m3,pearson_r,r_squared,mean_bias_ug_m3,median_error_ug_m3,mae_ug_m3,rmse_ug_m3,nmb_percent,nme_percent,overestimated_percent,underestimated_percent,exact_match_percent,error_p05_ug_m3,error_p95_ug_m3
primary_qc,year,2017,19758,199,11.46252865689847,10.0,12.610552416988607,8.370649745930066,5.559372712461229,7.051179704527379,0.45269325223820367,0.20493118062200189,1.1480237600901373,-0.8883828191491889,6.303235306188066,16.81302533857469,10.0154494217925,54.9899197189322,41.71980969733779,58.28019030266221,0.0,-9.214797433674578,15.872398681018554
primary_qc,year,2018,20895,207,11.941020673031826,9.7417,12.649671996295197,9.491245114708995,5.7437760069301484,6.9058959893650504,0.5028513662451616,0.25285949653462564,0.7086513232633727,-0.26784159492813764,5.84566736825423,12.365252149107565,5.934595899861599,48.95450337387294,47.56161761186887,52.43838238813113,0.0,-9.985185955750483,14.228423564229763
raw_extreme_sensitivity,year,All years,187069,304,10.690813655709926,9.25,9.463335402089523,6.73565546908373,2.7024406278203346,6.760894774269189,0.23953114339701725,0.05737516865708244,-1.2274782536204012,-1.8045501719246921,5.331931486815061,25.817265672795983,-11.481616770719874,49.87395401815179,32.96484184979874,67.03515815020126,0.0,-11.265664128047908,9.164433493236828
raw_extreme_sensitivity,year,2008,10140,164,15.050473865877711,12.3,17.730470077580435,13.31637644911713,7.319724505485352,10.41074557209508,0.7106176848904465,0.5049774940790579,2.6799962117027207,0.5836958006121282,7.818838690795861,13.174876689637015,17.806723134337865,51.95078082240756,53.91518737672584,46.08481262327416,0.0,-11.577504474378589,22.095872311526772
raw_extreme_sensitivity,year,2009,12392,189,10.9235135232408,9.7,9.836934938797246,7.981260581175246,1.0127922678038623,8.824142670993382,0.5250051704469791,0.2756304289960616,-1.0865785844435556,-1.0911452443712448,4.809442111490526,7.042430022140166,-9.9471528289113,44.02834400541535,40.235635894125245,59.764364105874755,0.0,-11.303611566881033,9.125117330415609
raw_extreme_sensitivity,year,2010,15125,190,10.417820076429752,9.2,10.012791080436545,7.8611249505250385,0.4162725618747363,9.596518518561805,0.4457924091539062,0.19873087205924372,-0.4050289959932097,-0.8023950247787512,5.0644235638698705,7.378164191929813,-3.8878478704924557,48.613083415868296,43.867768595041326,56.132231404958674,0.0,-10.888066400145641,10.840814057805492
raw_extreme_sensitivity,year,2011,16360,195,11.506321327017114,10.0,6.939189048392057,5.4779012852715,0.6680602034605367,6.271128844931523,0.5869263685572941,0.3444825621078526,-4.567132278625056,-3.7242448878003964,5.5024878289214145,7.5843200782841445,-39.692375597936085,47.82143373661435,16.778728606356967,83.22127139364304,0.0,-14.853524022817433,3.1723178734847597
raw_extreme_sensitivity,year,2012,17977,210,9.837162639984426,8.9167,6.728941282922463,5.365054948923331,0.8986107678062555,5.830330515116207,0.5213983916169034,0.27185628278069374,-3.1082213570619626,-2.6896601285779536,4.523278031047943,6.335362069499433,-31.596726320536707,45.98153142922017,23.079490460032265,76.92050953996774,0.0,-11.548094969445632,4.4918919609664885
raw_extreme_sensitivity,year,2013,19015,212,9.811253273941626,8.75,6.2714815917415185,4.889127273549731,1.416643219297212,4.8548383724443065,0.4536536017870323,0.20580159041434726,-3.5397716822001066,-3.081670396065347,4.981059411070382,7.213795860106558,-36.078690289258226,50.7688393316674,19.768603733894295,80.2313962661057,0.0,-12.667570238831345,3.8375871638306602
raw_extreme_sensitivity,year,2014,17098,191,9.636788394607555,8.5,7.327589785947859,6.001735733056341,1.3485930690474415,5.978996716900419,0.3808930177004096,0.14507949093292455,-2.3091986086596967,-2.091295281383307,4.333562723983592,8.460384894760935,-23.962325560161226,44.968951755841374,27.359925137442975,72.64007486255703,0.0,-10.906462272576174,4.41925862285007
raw_extreme_sensitivity,year,2015,18581,190,9.424411853613908,8.3,7.492680372841185,5.852238888400567,1.6707290518669768,5.8219513209742075,0.39921140711211034,0.1593697475684311,-1.931731480772722,-1.872724630432149,4.119926723975475,9.96691660059334,-20.497103806344963,43.71547835524227,28.884344222592972,71.11565577740703,0.0,-9.847452490058501,5.405509025490566
raw_extreme_sensitivity,year,2016,19714,192,9.437398338338237,8.6,8.330474895167377,6.016704837289554,2.7056792453138,5.624795649853578,0.06633705287860324,0.0044006045846186025,-1.106923443170859,-1.9478551852507437,4.979762795526225,52.082303314402836,-11.729116473489547,52.76626689896694,28.842446991985394,71.1575530080146,0.0,-9.819874092656859,5.898916751359216
raw_extreme_sensitivity,year,2017,19769,199,11.495763882998634,10.0,13.46463381324853,8.375837705841452,6.414954301470432,7.049679511778099,0.2652794148298804,0.07037316793248376,1.9688699302498973,-0.8846761510322798,7.121212978851388,51.70516092067774,17.126916925996603,61.9464095759928,41.75223835297688,58.247761647023125,0.0,-9.21461752830457,16.036334969765196
raw_extreme_sensitivity,year,2018,20898,207,11.940559104364056,9.740400000000001,12.848381474138522,9.492278183575209,5.942860584147635,6.9055208899908855,0.3070834899472804,0.09430026979820147,0.9078223697744667,-0.2669296322456334,6.044100973472619,21.25485545894149,7.602846414810462,50.61824091020672,47.56914537276295,52.43085462723705,0.0,-9.985133050775623,14.24589426968625
