analysis,period,threshold_ug_m3,n_pairs,observed_exceedances,modeled_exceedances,true_positive,false_negative,false_positive,true_negative,observed_prevalence_percent,modeled_prevalence_percent,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,precision_ppv,precision_ci95_low,precision_ci95_high,negative_predictive_value,accuracy,balanced_accuracy,f1_score,critical_success_index,false_negative_rate,false_positive_rate,frequency_bias
primary_qc,2013,12.0,19015,5130,1840,1110,4020,730,13155,26.97870102550618,9.676571128056798,0.21637426900584794,0.20532071996206958,0.2278522708009793,0.9474252790781419,0.9435877378807168,0.9510153171573247,0.6032608695652174,0.5807145619815632,0.6253769098107269,0.765938864628821,0.7501972127267946,0.5818997740419949,0.31850789096126253,0.189419795221843,0.783625730994152,0.05257472092185812,0.3586744639376218
primary_qc,2013,35.0,19015,109,82,5,104,77,18829,0.5732316592164081,0.4312384959242703,0.045871559633027525,0.019750448413382082,0.10291243600295912,0.9959272188723156,0.9949131555375653,0.9967397909366597,0.06097560975609756,0.02632395506781607,0.1349204950015403,0.9945069455448159,0.990481199053379,0.5208993892526715,0.05235602094240838,0.026881720430107527,0.9541284403669725,0.004072781127684333,0.7522935779816514
primary_qc,2014,12.0,17098,4645,2049,1379,3266,670,11783,27.166920107614928,11.983857761141655,0.2968783638320775,0.2839116436234805,0.3101807734410736,0.946197703364651,0.9420955241028518,0.950024684437723,0.673011224987799,0.6523918089025162,0.6929831332068968,0.7829756129975414,0.769797637150544,0.6215380335983642,0.4120107559008067,0.2594543744120414,0.7031216361679224,0.05380229663534891,0.4411194833153929
primary_qc,2014,35.0,17098,55,78,12,43,66,16977,0.32167504971341676,0.4561937068663002,0.21818181818181817,0.12946024041123025,0.34370034021840024,0.9961274423516987,0.9950766045512055,0.9969546782439777,0.15384615384615385,0.09025504908387116,0.24993266533226338,0.9974735605170387,0.9936249853784068,0.6071546302667584,0.18045112781954886,0.09917355371900827,0.7818181818181819,0.0038725576483013553,1.4181818181818182
primary_qc,2015,12.0,18580,4601,2410,1519,3082,891,13088,24.763186221743812,12.970936490850377,0.33014562051727886,0.3167039523341995,0.34387068112988356,0.9362615351598826,0.9320908905126367,0.9401924744901077,0.6302904564315353,0.610824735531745,0.6493414811454744,0.809400123685838,0.7861679224973089,0.6332035778385807,0.43331907003280556,0.27658412235979607,0.6698543794827212,0.06373846484011732,0.5237991740925886
primary_qc,2015,35.0,18580,82,111,30,52,81,18417,0.4413347685683531,0.5974165769644779,0.36585365853658536,0.2697862503419967,0.47392733162364004,0.9956211482322413,0.9945612855331633,0.9964752035001146,0.2702702702702703,0.19636907403158227,0.35954043353024673,0.9971844712761926,0.9928417653390743,0.6807374033844134,0.31088082901554404,0.18404907975460122,0.6341463414634146,0.0043788517677586765,1.353658536585366
primary_qc,2016,12.0,19711,5150,2806,1697,3453,1109,13452,26.127542996296484,14.23570595099183,0.3295145631067961,0.31680841002802934,0.34247486167707103,0.9238376485131515,0.9194165355407788,0.9280351881801743,0.604775481111903,0.5865546765232492,0.6227097992905524,0.7957409050576753,0.7685556288366902,0.6266761058099738,0.426596279537456,0.27112957341428345,0.6704854368932038,0.07616235148684843,0.5448543689320389
primary_qc,2016,35.0,19711,52,154,8,44,146,19513,0.2638120846227995,0.7812896352290599,0.15384615384615385,0.08007685016780322,0.2752408517641015,0.9925733760618546,0.9912732342382746,0.993681053297417,0.05194805194805195,0.026554932485162885,0.09915005636211943,0.9977501661809071,0.9903607122926285,0.5732097649540042,0.07766990291262135,0.04040404040404041,0.8461538461538461,0.0074266239381453785,2.9615384615384617
primary_qc,2017,12.0,19758,7203,6108,4100,3103,2008,10547,36.4561190403887,30.914060127543273,0.5692072747466334,0.5577377257288995,0.5806030447316105,0.8400637196336121,0.8335481957070385,0.8463712083238675,0.6712508185985593,0.659365633175414,0.6829207324142558,0.7726739926739927,0.7413199716570503,0.7046354971901228,0.6160318533543686,0.44511996525892955,0.43079272525336665,0.1599362803663879,0.8479800083298625
primary_qc,2017,35.0,19758,321,917,199,122,718,18719,1.6246583662314,4.641158011944529,0.6199376947040498,0.5657149062884919,0.6713238026236683,0.9630601430261871,0.9603157285561743,0.9656215585787193,0.21701199563794984,0.1915422627222836,0.244842801146719,0.9935247598322806,0.9574855754631035,0.7914989188651185,0.32148626817447495,0.1915303176130895,0.38006230529595014,0.03693985697381283,2.856697819314642
